EXPERIMENT_NUMBER,NETWORK_ARCH,DATASET,NUMBER_OF_CLIENTS,CUT_LAYER,TB_INJECT,FIXED_ALPHA,ALPHA,TRAIN_ACCURACY,VALIDATION_ACCURACY,TEST_ACCURACY,BD_TEST_ACCURACY
0,lenet,cifar10,7,1,False,True,0.5,80.88,60.31999999999999,60.519999999999996,6.486006219458018
0,lenet,cifar10,7,1,False,True,0.2,66.128,61.199999999999996,61.12,6.3640409434801954
0,lenet,cifar10,7,1,False,True,0.09,61.80799999999999,56.76,57.46,4.509283819628647
0,lenet,cifar10,7,1,False,True,0.06,61.151999999999994,58.28,57.720000000000006,6.350962602345652
0,lenet,cifar10,7,1,False,True,0.04,59.263999999999996,56.8,57.96,11.296419835445853
0,lenet,cifar10,7,2,False,True,0.5,80.896,61.5,62.68,11.207471647765177
0,lenet,cifar10,7,2,False,True,0.2,66.848,61.18,59.760000000000005,12.361541869738591
0,lenet,cifar10,7,2,False,True,0.09,65.696,61.5,59.64,13.281423804226918
0,lenet,cifar10,7,2,False,True,0.06,61.61600000000001,57.06,58.919999999999995,9.889135254988913
0,lenet,cifar10,7,2,False,True,0.04,57.711999999999996,54.6,54.559999999999995,15.046604527296935
0,lenet,cifar10,7,3,False,True,0.5,87.616,62.239999999999995,63.28,3.10146211785556
0,lenet,cifar10,7,3,False,True,0.2,78.08,65.8,66.8,3.0202087497224075
0,lenet,cifar10,7,3,False,True,0.09,71.76,64.68,63.18,3.462050599201065
0,lenet,cifar10,7,3,False,True,0.06,70.848,63.32,65.06,2.4195338512763596
0,lenet,cifar10,7,3,False,True,0.04,68.448,63.580000000000005,63.3,3.9751276926493446
0,stripnet,cifar10,1,1,False,True,0.5,95.056,81.78,82.0,21.83474011550422
0,stripnet,cifar10,1,1,False,True,0.2,88.53999999999999,81.62,82.39999999999999,37.78617470549011
0,stripnet,cifar10,1,1,False,True,0.09,81.86,79.58,79.0,51.743282256273595
0,stripnet,cifar10,1,1,False,True,0.06,78.628,76.9,75.6,65.57231588287489
0,stripnet,cifar10,1,1,False,True,0.04,77.02799999999999,77.94,77.96,34.05345211581292
0,stripnet,cifar10,1,2,False,True,0.5,95.16,83.12,83.54,7.8906423649699935
0,stripnet,cifar10,1,2,False,True,0.2,88.484,80.62,81.82000000000001,24.866548042704625
0,stripnet,cifar10,1,2,False,True,0.09,81.54,78.34,78.03999999999999,30.069150122685702
0,stripnet,cifar10,1,2,False,True,0.06,79.144,76.98,76.42,26.50976909413854
0,stripnet,cifar10,1,2,False,True,0.04,76.944,75.48,74.88,30.355555555555558
0,stripnet,cifar10,1,3,False,True,0.5,94.908,83.14,82.46,12.163664665332444
0,stripnet,cifar10,1,3,False,True,0.2,88.936,80.97999999999999,81.36,30.962995987516717
0,stripnet,cifar10,1,3,False,True,0.09,82.1,76.78,75.88000000000001,20.54306699310038
0,stripnet,cifar10,1,3,False,True,0.06,77.256,68.89999999999999,69.32000000000001,36.65852032881582
0,stripnet,cifar10,1,3,False,True,0.04,77.01599999999999,67.75999999999999,67.96,14.681747615879354
0,stripnet,cifar10,3,1,False,True,0.5,94.976,83.46000000000001,83.28,6.129247168554297
0,stripnet,cifar10,3,1,False,True,0.2,91.27199999999999,82.0,81.04,29.06382032466088
0,stripnet,cifar10,3,1,False,True,0.09,84.664,79.84,79.60000000000001,24.679061531651172
0,stripnet,cifar10,3,1,False,True,0.06,82.464,78.52,77.84,50.244661921708186
0,stripnet,cifar10,3,1,False,True,0.04,78.192,76.84,75.88000000000001,78.69217081850533
0,stripnet,cifar10,3,2,False,True,0.5,95.136,83.96000000000001,84.02,6.742323097463284
0,stripnet,cifar10,3,2,False,True,0.2,91.224,82.54,81.88,8.899245450510431
0,stripnet,cifar10,3,2,False,True,0.09,85.344,76.74,75.8,23.46825923468259
0,stripnet,cifar10,3,2,False,True,0.06,81.376,70.7,69.22,26.865671641791046
0,stripnet,cifar10,3,2,False,True,0.04,77.752,55.94,55.98,23.10429175005559
0,stripnet,cifar10,3,3,False,True,0.5,94.736,83.86,82.67999999999999,4.084350721420644
0,stripnet,cifar10,3,3,False,True,0.2,90.944,81.06,82.34,23.238180196253346
0,stripnet,cifar10,3,3,False,True,0.09,84.552,74.03999999999999,74.66000000000001,11.133244798583444
0,stripnet,cifar10,3,3,False,True,0.06,81.76,60.72,61.28,30.02895967921586
0,stripnet,cifar10,3,3,False,True,0.04,78.448,56.14,55.50000000000001,28.853404302506096
0,stripnet,cifar10,5,1,False,True,0.5,94.38377535101404,82.54,82.88,6.688963210702341
0,stripnet,cifar10,5,1,False,True,0.2,90.7596303852154,81.92,82.06,14.374583425905355
0,stripnet,cifar10,5,1,False,True,0.09,86.23544941797672,79.56,79.44,62.796420581655475
0,stripnet,cifar10,5,1,False,True,0.06,82.50330013200528,78.62,78.72,60.35212837084912
0,stripnet,cifar10,5,1,False,True,0.04,79.38317532701308,77.02,76.55999999999999,26.127946127946128
0,stripnet,cifar10,5,2,False,True,0.5,94.23976959078362,83.86,83.17999999999999,4.4068551079456935
0,stripnet,cifar10,5,2,False,True,0.2,90.92763710548422,80.06,79.62,24.88938053097345
0,stripnet,cifar10,5,2,False,True,0.09,85.55142205688227,72.58,72.8,24.617092119866815
0,stripnet,cifar10,5,2,False,True,0.06,80.96723868954759,67.34,67.67999999999999,54.8753339269813
0,stripnet,cifar10,5,2,False,True,0.04,78.74714988599544,56.82000000000001,57.599999999999994,23.56206973129025
0,stripnet,cifar10,5,3,False,True,0.5,94.52778111124445,83.28,84.26,8.80852007987575
0,stripnet,cifar10,5,3,False,True,0.2,90.7116284651386,80.88,80.02,32.13808463251671
0,stripnet,cifar10,5,3,False,True,0.09,83.35533421336854,68.92,67.47999999999999,25.249833444370417
0,stripnet,cifar10,5,3,False,True,0.06,80.54722188887555,52.580000000000005,52.78,19.71612330893768
0,stripnet,cifar10,5,3,False,True,0.04,74.12696507860315,25.080000000000002,24.16,9.851011785634869
0,stripnet,cifar10,7,1,False,True,0.5,94.736,82.69999999999999,82.6,11.673324456280515
0,stripnet,cifar10,7,1,False,True,0.2,92.27199999999999,81.66,81.04,15.20142443801469
0,stripnet,cifar10,7,1,False,True,0.09,86.78399999999999,79.78,79.92,20.917799064379594
0,stripnet,cifar10,7,1,False,True,0.06,81.664,78.46,78.74,17.163846838824576
0,stripnet,cifar10,7,1,False,True,0.04,81.104,77.38000000000001,77.88000000000001,67.10585082626173
0,stripnet,cifar10,7,2,False,True,0.5,94.256,83.32000000000001,83.94,7.4916387959866215
0,stripnet,cifar10,7,2,False,True,0.2,91.904,80.78,81.5,9.32297447280799
0,stripnet,cifar10,7,2,False,True,0.09,85.872,73.74000000000001,74.5,24.927665257066547
0,stripnet,cifar10,7,2,False,True,0.06,80.99199999999999,68.16,67.16,5.293466223698782
0,stripnet,cifar10,7,2,False,True,0.04,79.84,63.2,63.580000000000005,19.508928571428573
0,stripnet,cifar10,7,3,False,True,0.5,95.232,82.67999999999999,83.28,4.3334070307318155
0,stripnet,cifar10,7,3,False,True,0.2,91.34400000000001,79.75999999999999,79.94,16.78476527900797
0,stripnet,cifar10,7,3,False,True,0.09,85.232,69.04,67.7,37.089618456078085
0,stripnet,cifar10,7,3,False,True,0.06,80.512,55.22,57.64,12.965855835750947
0,stripnet,cifar10,7,3,False,True,0.04,76.0,38.440000000000005,38.6,13.47517730496454
