EXPERIMENT_NUMBER,NETWORK_ARCH,DATASET,NUMBER_OF_CLIENTS,CUT_LAYER,TB_INJECT,FIXED_ALPHA,ALPHA,TRAIN_ACCURACY,VALIDATION_ACCURACY,TEST_ACCURACY,BD_TEST_ACCURACY
0,stripnet,fmnist,1,2,False,True,0.06,93.02,91.46,90.89,19.055555555555557
0,stripnet,fmnist,1,2,False,True,0.04,92.108,91.44,90.13,39.88888888888889
0,stripnet,fmnist,1,3,False,True,0.5,99.17200000000001,92.94,92.91,46.44444444444444
0,stripnet,fmnist,1,3,False,True,0.2,96.84,93.05,93.0,48.333333333333336
0,stripnet,fmnist,1,3,False,True,0.09,94.216,92.24,91.36,23.78888888888889
0,stripnet,fmnist,1,3,False,True,0.06,93.016,91.75,90.81,20.31111111111111
0,stripnet,fmnist,1,3,False,True,0.04,91.892,90.52,89.53,27.37777777777778
0,stripnet,fmnist,3,1,False,True,0.5,99.024,93.58,92.83,13.277777777777777
0,stripnet,fmnist,3,1,False,True,0.2,97.776,92.14,91.82000000000001,58.68888888888889
0,stripnet,fmnist,3,1,False,True,0.09,95.216,90.28,89.42999999999999,52.04444444444445
0,stripnet,fmnist,3,1,False,True,0.06,94.00800000000001,88.78,88.19,33.4
0,stripnet,fmnist,3,1,False,True,0.04,92.888,83.63000000000001,83.03,66.63333333333334
0,stripnet,fmnist,3,2,False,True,0.5,99.152,93.62,93.33,13.522222222222222
0,stripnet,fmnist,3,2,False,True,0.2,97.264,93.62,93.0,21.644444444444446
0,stripnet,fmnist,3,2,False,True,0.09,94.368,92.49000000000001,91.47999999999999,17.78888888888889
0,stripnet,fmnist,3,2,False,True,0.06,93.536,90.81,90.74,11.011111111111111
0,stripnet,fmnist,3,2,False,True,0.04,92.648,89.9,89.34,21.644444444444446
0,stripnet,fmnist,3,3,False,True,0.5,98.896,93.35,93.13,10.100000000000001
0,stripnet,fmnist,3,3,False,True,0.2,97.14399999999999,93.78,93.05,6.766666666666667
0,stripnet,fmnist,3,3,False,True,0.09,94.6,92.2,91.69,20.58888888888889
0,stripnet,fmnist,3,3,False,True,0.06,93.784,91.24,91.02,35.3
0,stripnet,fmnist,3,3,False,True,0.04,91.928,89.89,89.56,23.3
0,stripnet,fmnist,5,1,False,True,0.5,98.85995439817593,93.60000000000001,92.78999999999999,38.4
0,stripnet,fmnist,5,1,False,True,0.2,97.25189007560301,92.75999999999999,91.8,11.622222222222224
0,stripnet,fmnist,5,1,False,True,0.09,95.3438137525501,89.60000000000001,89.13,21.31111111111111
0,stripnet,fmnist,5,1,False,True,0.06,93.723748949958,85.37,84.71,30.61111111111111
0,stripnet,fmnist,5,1,False,True,0.04,92.83571342853713,82.65,82.1,23.466666666666665
0,stripnet,fmnist,5,2,False,True,0.5,98.4759390375615,93.85,93.12,5.455555555555556
0,stripnet,fmnist,5,2,False,True,0.2,97.15588623544942,93.58999999999999,93.12,15.522222222222224
0,stripnet,fmnist,5,2,False,True,0.09,94.87579503180127,92.30000000000001,91.73,11.844444444444445
0,stripnet,fmnist,5,2,False,True,0.06,93.41173646945879,91.03,90.56,15.92222222222222
0,stripnet,fmnist,5,2,False,True,0.04,92.84771390855634,89.73,88.98,43.98888888888889
0,stripnet,fmnist,5,3,False,True,0.5,99.00396015840633,93.86,93.19,5.655555555555555
0,stripnet,fmnist,5,3,False,True,0.2,97.08388335533421,93.61,92.99,10.466666666666667
0,stripnet,fmnist,5,3,False,True,0.09,94.70778831153245,92.56,91.64999999999999,9.077777777777778
0,stripnet,fmnist,5,3,False,True,0.06,93.35173406936278,91.99000000000001,90.45,26.033333333333335
0,stripnet,fmnist,5,3,False,True,0.04,92.2716908676347,89.63,88.91,15.577777777777776
0,stripnet,fmnist,7,1,False,True,0.5,99.03999999999999,93.55,93.16,3.6333333333333337
0,stripnet,fmnist,7,1,False,True,0.2,97.504,92.88,92.63,37.833333333333336
0,stripnet,fmnist,7,1,False,True,0.09,95.408,90.75999999999999,90.03,63.977777777777774
0,stripnet,fmnist,7,1,False,True,0.06,94.22399999999999,88.08,87.9,15.166666666666668
0,stripnet,fmnist,7,1,False,True,0.04,92.816,85.72999999999999,85.16,52.7
0,stripnet,fmnist,7,2,False,True,0.5,98.752,93.60000000000001,93.17999999999999,22.455555555555556
0,stripnet,fmnist,7,2,False,True,0.2,97.68,93.26,93.02,29.91111111111111
0,stripnet,fmnist,7,2,False,True,0.09,95.136,92.27,91.78,11.200000000000001
0,stripnet,fmnist,7,2,False,True,0.06,93.696,91.10000000000001,90.69,7.211111111111111
0,stripnet,fmnist,7,2,False,True,0.04,92.91199999999999,89.82,89.28,21.67777777777778
0,stripnet,fmnist,7,3,False,True,0.5,98.976,93.58,93.0,19.08888888888889
0,stripnet,fmnist,7,3,False,True,0.2,97.616,93.11,93.11,12.38888888888889
0,stripnet,fmnist,7,3,False,True,0.09,95.408,92.77,91.97,6.966666666666667
0,stripnet,fmnist,7,3,False,True,0.06,94.624,91.85,91.35,6.322222222222222
0,stripnet,fmnist,7,3,False,True,0.04,92.256,90.32,89.52,15.044444444444444

